博主昵称,微博内容,微博来源,转发,评论,赞,id
赵先生的追求,支持国货#支持新疆棉的国货品牌# L赵先生的追求的微博视频,微博视频号,0,0,1,0
用户5462313156,下了一堆国产新疆棉的日用品衣服的单舒服了,iPhone客户端,0,0,0,1
旺仔牛奶咖啡杯,"#新疆棉有多受欢迎# 新 疆棉特别受欢迎,大部分纺织产品需要棉花!质量又好,又是纯棉的这么好",华为畅享10 Plus,0,0,0,2
种花家的死忠粉,"我去,不数不知道,一数吓一跳,我真TM太能买买买了,我是怎么做到三年买26双斯凯奇的鞋的?以后一定一定一定要节约,千万不能冲动消费。( 我npy:所以你话音刚落转身就在薇娅直播间买了新疆棉被子和袜子?)",HUAWEI P40 Pro+ 5G,0,0,1,3
娱乐圈小伙,"#新疆棉有多受欢迎#今晚看薇娅还挺有收获的,我们的新疆棉原来这么厉害,五件衣服里面,就会有一件是新疆棉,我们必须要支持新疆棉! L娱圈明哥的微博视频",iPhone客户端,14,17,15,4
集体主义罗大盾,"新疆棉一夜间长势喜人,原因竟是...",HUAWEI P30,0,3,1,5
最爱麻辣自嗨锅,"#新疆棉有多受欢迎# 新疆棉这么好的质量,还愁不受欢迎嘛,相信大家的眼光都是雪亮的,好东西永远都是好东西。",微博国际版,0,0,0,6
总是发脾气啦,"#新疆棉有多受欢迎# 厉害了厉害了,就喜欢新疆棉制品的东西,穿着会很舒服的,好好看喜欢,品质优良,肯定受欢迎。",NEX 3,0,0,0,7
青青芒子,"新疆棉必须支持,而且质量都很好",荣耀Play 让快更快,0,0,0,8
是我喜欢的养乐多可可,"#新疆棉有多受欢迎#好的东西肯定受欢迎啦!支持新 疆棉,做出来的袜子真的很舒服很暖",Android,0,0,0,9
天下无双之天使,"冒雨来健身☔️边健身边想:每个中国家庭👪做两床新疆棉被子,也不知道新疆的棉花够不够... 2天津",iPhone客户端,0,0,0,10
款爷-PEACEMINUSONE,"#汪涵安利新疆长绒棉#咱们新疆的长绒棉真的很不错,涵哥也一直都在默默支持着国货,而且我现在越来越了解长绒棉的优点了,以后我也只穿新疆棉制造的衣服了",iPhone客户端,0,0,0,11
新疆生态环境厅,"深度关注丨众志成城的新疆棉新疆,是一片棉花生长的沃土。每至金秋,天山南北万顷“棉海”进入采收旺季,雪白饱满的棉团如白头浪层层滚来,直接天际。棉田里,采棉机将朵朵棉絮卷成形同巨蛋的棉包,一派丰收景象。O深度关注丨众志成城的新疆棉 2乌鲁木齐",荣耀30S 5G 美由芯生,3,0,2,12
-烤面包的小鱼,"#新疆棉有多受欢迎# 新疆的棉花最近真的是掀起了一股热风,以前都是用我们当地的棉花,最近听别人说新疆的棉花真的非常好用,我现在已经疯狂的在收入了,没想到这么难抢。",微博极速版,0,0,0,13
吃瓜Mark,"#新疆棉有多受欢迎# 看薇娅直播间的新疆棉卖得不错,主要是新疆棉质量本来就很棒,尤其是她们的优质长绒棉。 L吃瓜Mark的微博视频",微博视频号,61,65,66,14
Sunshine晴天68,"#薇娅直播间#今晚新疆棉的直播让我对微娅小姐姐深深的爱上了,以前虽然也会看,但是是偶尔,今天彻底改观,明天零食节必须来  ",HUAWEI P40 Pro 5G,2,0,0,15
二万超可,#支持新疆棉的国货品牌# #hm替代品合集# //@张新成:#我支持新疆棉花#,荣耀V10 我AI的快,0,0,0,16
阖胡安,"回音zzang//@MellowDeep金在奂中文首站:与厂家约定,本睡衣特典将全部采用新疆棉布料制作。 查看图片",尽欢🍃Android,0,0,0,17
买一个梦想阿,薇娅这次直播上新疆棉制品 真是太有心了,联想Z5 · 新国民旗舰,0,0,0,18
我是一个小可爱1997,#新疆棉有多受欢迎# 果然好东西都是被人人都喜欢的呀!支持新疆棉,iPhone客户端,0,1,0,19
Blingbling今天辞职了吗,"支持新疆棉,爱吃新疆菜",iPhone客户端,0,0,3,20
鱿鱿鱿鱿鱼丝,"新疆棉制品品质一流,必须支持",iPhone客户端,0,0,0,21
养三只猫两条狗,"#新疆棉有多受欢迎#其实我们日常生活中有很多东西都是用新疆棉做的,质量真的没话说,以后就认准新疆棉了。L娱圈前线的微博视频",iPhone客户端,0,0,0,22
MRForester司南,"#带着微博去西双版纳##我为什么支持新疆棉# 清风野食,这一回,我们将餐桌搬到飞龙岛。日落之前,我们寄身山水,天黑以后,我们属于时间。#西双版纳##打卡##野奢之旅# 2云南省·西双版纳傣族自治州 LMRForester司南的微博视频",iPhone客户端,0,0,0,23
我爱吃蛋挞qx,"#薇娅直播间# 爱了爱了,刚下了新疆棉洗脸巾,期待明天的零食#薇娅直播间# #薇娅直播间#",荣耀 Play4T Pro,0,0,0,24
R赴嘉R,力挺新疆棉#任嘉伦马克华菲品牌代言人# @任嘉伦Allen,vivo Y5s 闪充强续航,0,0,0,25
圈内霸霸,"#新疆棉有多受欢迎# 听到新疆的产棉量占了全世界的1/5时,真的好自豪,新疆棉绝对的首选,品质保证了,我支持新疆棉花!支持国货 L娱小花花的微博视频",微博视频号,116,84,60,26
无敌小唢呐,"//@SHANE_HanZ:【吴宣仪代言品牌中无一加入bci❗】事到如今bci涉事品牌均态度强硬拒不道歉,某些人却在维护国家形象的关头将矛头直指与本次事件无关的明星,为涉事品牌转移视线祸水东引?当爱国成了你攻击无辜同胞的旗号,饭圈的你还记得自己作为中国人在本次新疆棉事件的初心吗?",吴选老婆的Android,0,0,0,27
干锅茶树菇腊肉香菇,"#沈梦辰穿李宁支持新疆棉#真的很棒啊,是个正能量的艺人啊,而且这个衣服很适合她啊#沈梦辰衣服上写着中国#",nova7SE 5G你在焦点在,0,0,0,28
-壹加壹等于贰,"#新疆棉有多受欢迎# 中国人当然要支持国产的棉花了,它真的是特别的好用,光看这难抢的程度就能看出来它的产量,高质量也特别的好。",微博极速版,0,0,0,29
想去海边的小贝壳,"#艾福杰尼说只能盖新疆棉被睡觉#我们的新疆棉就是最好的!新疆景色好,人也好,东西也好,艾福杰尼直播说自己家乡的棉花盖过了都不想盖别的,看了立马也想下单一床了!L娱乐News的微博视频",iPhone客户端,0,0,0,30
马原真的好难啊,"#汪涵安利新疆长绒棉#涵哥早就在直播间安利过新疆棉的,真的是一个非常有心的明星了啊,支持涵哥啊",OPPO Reno Z,0,0,0,31
Heygirl-994,"#新疆棉有多受欢迎# 新疆棉就是该这么受欢迎,棉花那么的美,质量又是那么的优质,谁不爱呢",HUAWEI P40 Pro 5G,0,0,0,32
吴小弈7,新疆棉更多的是一场媒体的狂欢,iPhone客户端,0,0,0,33
愛吃飛魚的貓,#新疆棉# #O绿洲,绿洲APP,0,0,0,34
青岩花岗岩,这小破游戒不掉的一个原因可能就是太根正苗红了#支持新疆棉的国货品牌#,nova6SE好看拍出来看,0,0,1,35
月亮又变胖了,"支持新疆棉,冲鸭",vivo S1照亮你的美,0,0,0,36
星宝日报Zoe,"#冒个泡##星宝日报 社会# 用实际行动支持新疆棉,下单买了🇨🇳 !中国威武",HUAWEI P40 Pro+ 5G,0,1,1,37
张小肉不吃肉,谁说中国女生离不开H&M?搞笑!支持新疆棉就是支持我们自己!#支持新疆棉的国货品牌# #理智抵制拒绝暴力# #失去中国市场会对品牌造成多大影响# #新疆棉花为什么重要# #我支持新疆棉花# #国产服装品牌将迎哪些机会# L张小肉不吃肉的微博视频,微博视频号,0,0,12,38
花夭之梦,一看我们的新疆棉就是质量特别棒,,0,0,0,39
橙LI-,"#新疆棉有多受欢迎#用我们新疆棉花做出来的衣服质量没话说啊,外国人不懂欣赏真是可惜,支持新疆棉花。",OPPO A5,0,0,0,40
泰坦买了一箱养乐多和旺仔牛奶,#新疆棉有多受欢迎# !!我们超级喜欢的一种棉花 有些人你不要不识好歹哦!这个棉花服务了我们一辈子 我们感激还来不及呢,vivo Y30,0,0,0,41
四季沐歌_168,"#新疆棉有多受欢迎# 看来大家的热情都很高涨,我都没有抢到,太难抢了,我们一起努力支持新疆棉花。",OPPO随光而变R17,0,0,0,42
小可爱的爱呢,"#新疆棉有多受欢迎# 其实咱们日常生活中很多东西都是用新疆棉做的,而且用起来都是非常舒服的,这次的新疆棉事件就算是为我们新疆棉再次提高知名度吧,也不亏L娱圈前线的微博视频",iPhone客户端,0,0,0,43
一鸣耀京城,#护疆棉盟成员特步# 支持国货!支持新疆棉!,丞星⭐ 的Android,0,0,0,44
昵称无昵称无,"这速度确认过了,是大家真的想要支持新疆棉",新浪微博4G版,0,0,0,45
椰菠72,"哈哈,新疆棉多好啊,那它的产品肯定也很好啊,抢不到就有点难受了",vivo智能手机,0,0,0,46
我们的青春热血,#新疆棉有多受欢迎#新 疆的棉花质量好着呢!而且用它做的被子真的好暖哦。,微评,0,0,1,47
北京五道口校园,"#五道口夜聊##我为什么支持新疆棉#中国人民大学撤掉操场 Nike 广告,大家觉得我们学生可以为这件事做些什么呢?",海淀五超越Android,0,3,32,48
狼牙交错,"【新疆棉事件】触碰了中国民族底线,必须斗争到底,不获胜利,绝不收兵! 评论配图",HUAWEI P30,0,1,1,49
草莓芝士榛子酥,"以前从来没意识到,这么多产品是新疆棉",微博国际版,0,0,0,50
-迪士尼在逃城堡-,//@晚安311311:#中纺联发声反对污名化新疆棉行径#,HUAWEI P30,0,0,0,51
海猫要吃小鱼干和旺仔牛奶,"#新疆棉有多受欢迎# 新疆棉一直都很好呀,咱们衣服袜子都来自新疆棉,穿着都很舒服的!产量也高!",微博国际版,0,0,0,52
努力搬砖买手机,"新疆棉真的好舒服的,我家孩子衣服都是新疆棉",小米Max3 大屏大电量,0,0,0,53
多喝伊利纯牛奶白白胖胖,"#新疆棉有多受欢迎# 不管了,以后我就认准新疆棉了,质量真心好,尤其我们薇娅姐姐都说好,值得期待。L八哥的微博视频",iPhone客户端,0,0,0,54
洁宝的空间,"#薇娅直播间# 支持新疆棉,迎接薇娅零食节!",荣耀V30 5G,0,0,0,55
老赵的新家,"新疆棉品质就是好,享誉国内外",Android,0,0,0,56
迷路的小女孩啊,"#新疆棉有多受欢迎#新疆棉质量就是很好啊,很多国货都用的新疆棉,质量上乘,谁看了不想要呢",微博国际版,0,0,0,57
白桃烏龍momoko,"支持中国李宁,支持新疆棉",HUAWEI Mate30 Pro 5G,0,0,1,58
紫色妖月憨桃,"#支持新疆棉的国货品牌# 支持中国品牌,恭喜肖战成为李宁品牌代言人#肖战李宁运动潮流产品全球代言人# @X玖少年团肖战DAYTOY",OPPO Reno4 5G,0,0,0,59
盖世英雄也爱初雪,"#新疆棉有多受欢迎# 新疆棉花确实很不错呀,去年朋友买过一床被子,超级贴身暖和",vivo S5照亮你的美,0,0,0,60
宁宁小朋友真淘气拉面说,"#新疆棉有多受欢迎# 听了薇娅姐的科普真的是受益匪浅,看样子这种新疆棉的品质质量应该不会差不过很可惜抢不到呀",荣耀 9X,0,0,0,61
wyp云,支持新疆棉#薇娅直播间#,nova6SE好看拍出来看,0,0,0,62
我家有小沫,"#新疆棉有多受欢迎# 之前就买过很多新疆棉制的衣服和被子,穿在身上特别舒服。 真的很不错",微博国际版,0,0,0,63
berty-yo,"嘻嘻,火速赶来,支持国产,支持新疆棉,国产就是好",HUAWEI Mate 8,0,0,0,64
种草藏宝阁,"#我的第一条微博# #支持新疆棉的国货品牌# 路遥知马力,日久见人心。希望能成为你的好朋友,希望你能喜欢我分享的东东,喜欢种草藏宝阁小姐姐~",我的第一条微博超话,0,0,1,65
水镜清荷,"薇娅直播间 O明晚8点 , 我将在#薇娅直播间# 先行开启一场新疆棉制品公益专场,向大家推荐来自我们中国新疆的优质棉花制品,感谢全国妇联宣传部,全国青联对这次公益活动的支持,我们明晚不见不散!@共青团中央 @全国妇联女性之声 @全国青联",iPhone客户端,0,0,0,66
土豆你个地瓜滚,原来新疆棉的用途这么广泛,微博国际版,0,0,0,67
小猪不吃屁,支持国货!!支持新疆棉!!姐姐真的好可️,iPhone客户端,0,0,0,68
不是那个大鹏的大鹏,#薇娅直播间# #支持新疆棉的国货品牌# #薇娅# @薇娅viyaaa 快快抽我,iPhone客户端,0,0,0,69
小小鸟张胖妞,"支持新疆棉制品,支持薇娅,爱你@薇娅viyaaa",iPhone客户端,0,0,0,70
肖战事件受害者永远不闭嘴,"哈哈哈哈哈哈哈一顿操作猛如虎,一看战绩零杠五//@失踪日记作者小皓:王炸+4个2 在手上,结果出了个3🤗~大概就这样,李宁别想趁乱洗白土豆,支持国货≠一定要支持李宁,不支持李宁≠抵制国货,抵制禁用新疆棉品牌=抵制的核心≠必须支持李宁",红米Redmi,0,0,1,71
我爱过你呢,"#新疆棉有多受欢迎# 抢不到呀支持新疆棉,支持薇娅",vivo X23 AI非凡摄影,0,0,0,72
三千芝士云多多,"#新疆棉有多受欢迎#在薇娅那听了她对新疆棉的介绍,不由的感叹我们的新疆棉是真的很不错,新疆棉做的衣服穿起来更是柔软舒适。L娱圈前线的微博视频",iPhone客户端,0,0,0,73
软耳朵柠檬兔,"为我们的新疆棉感到骄傲,自豪",荣耀 9X,0,0,0,74
一喝喝一排养乐多,#新疆棉有多受欢迎#新疆棉品质真的是超级好!特别舒服!光看那么难抢就知道了!做为中国人 我会一直喜欢并支持新疆棉!,iPhone客户端,0,0,1,75
喜欢吃玉米的兔子HY,"  带#薇娅直播间#明晚又可以买好多,今天新疆棉也买了好多,要破产",iPhone客户端,0,0,0,76
年少可不轻狂,"#新疆棉有多受欢迎# 必须支持了,新疆棉就是最好最舒适的,以后买纺织类的,就认这个了就该受欢迎",HUAWEI P40 Pro 5G,0,0,0,77
要嗨就吃自嗨锅,"#新疆棉有多受欢迎#新疆棉花做出来的面料舒服,当然受大众喜欢啦,大家买回家的衣服裤子袜子之类的东西,都希望可以舒舒服服的!",iPhone客户端,0,0,0,78
努力实现泡芙自由i,"#新疆棉有多受欢迎# 也正是因为在这样的关键时刻,所以更应该表明自己的立场跟决心才可以,我觉得我们国家的东西永远都是质量最好的",nova 5i Pro,0,0,0,79
红尘颠倒的凉子酱,"#薇娅直播间# 支持新疆棉,支持薇娅",iPhone客户端,0,0,0,80
YanShenorange,"#新疆棉有多受欢迎#新疆棉有一颗 🇨🇳❤️ ,中国人都爱新疆棉呀。中国制造越来越高端,原料当然是基础,新疆的气候种出的棉花真的杠杠滴。",vivo X27,0,0,0,81
橘子比桔子好吃,今晚的新疆棉制品还是挺实用的,新浪微博4G版,0,0,0,82
go微笑的呆萌小哥,"#新疆棉有多受欢迎#品质真的绝了啊啊,超级让人佩服了,妥妥棒哒哒的哦",Android,0,0,1,83
肖肖64452,速来#薇娅直播间# 新疆棉制品公益专场+母婴专场来啦!,小米10,0,0,0,84
氧吧森林,#新疆棉有多受欢迎# 棉花还是新 疆 的好!这一次让大家看见了新 疆棉花的好!它的深加工产 品真的很不错!,OPPO Reno5 Pro 5G,0,0,1,85
综艺有点料,"#新疆棉有多受欢迎# 新疆棉不是因为昨天上热门,或者在薇娅直播间等原因才卖得好,以前就很有名的。 L综艺有点料的微博视频",微博视频号,68,71,103,86
忒搞拉面說,"#新疆棉有多受欢迎# 刚看到了一个科普知识,听说新疆棉的产量在全世界中都要占到快1/5了,想不到我大新疆也这么厉害。",iPhone客户端,0,0,0,87
天恒成巧迪君君,"薇娅公益,支持新疆棉",HUAWEI P40 5G,0,0,0,88
麻薯糯米团团子,新疆棉质量是真的好啊 我刚刚也没抢到,iPhone客户端,0,0,0,89
xiaoxiaonini09,  带#薇娅直播间#支持新疆棉,iPhone客户端,0,0,1,90
星星亦草草,在薇娅直播间学到了很多新疆棉的知识,前置双摄vivo X9,0,0,0,91
水镜清荷,"薇娅直播间新疆棉制品公益专场+母婴专场来啦! 今晚#薇娅直播间#,超多爆款好物!支持新疆棉花,速来!微博直播",iPhone客户端,0,0,0,92
田杰TJ,"《新疆棉》泥土里长出的云,怀抱般温柔;阳光的味道,是亲人的暖手;给我你成熟的微笑,绽放的嘴角和眼眸;蓬蓬松松的雪野,似花非花;情暖抵风雪,笑对霜打压。2021-3-26",Note 9 Pro 一亿像素,0,0,0,93
唯心独醉来了,来来来新疆棉专场,Redmi K20 Pro 尊享版,0,0,0,94
2021腰缠万贯,#新疆棉有多受欢迎# 快来看看我们新疆的棉花吧!棉质产品既保暖又舒服。支持新疆棉。,前后2000万 OPPO R11s,0,0,0,95
云梦养乐多自嗨锅旺仔牛奶,"#新疆棉有多受欢迎# 新疆棉特别受欢迎,自嗨锅大部分需要棉花制造的产品,质量又好,又是纯棉的。 真的很受欢迎",Android,0,0,0,96
给我一瓶旺仔牛奶好嘛,"#新疆棉有多受欢迎#支持国货啊,家里一直用的新疆棉,又柔软又舒服,性价比又高,赶快用起来啊 买到就是赚到",OPPO A72 5G,0,0,0,97
灵汐吖,薇娅直播间新疆棉制品真的很抢手,微博国际版,0,0,0,98
可爱加点糖2,"支持国产!国家利益高于一切,我支持新疆棉",Android,0,0,0,99
水中的養乐多,"#新疆棉有多受欢迎# 新疆的棉花真的非常得好。在直 播 间根本就是想买也买不到,支持新疆棉花,这么好怎么能不用呢?L娱圈前线的微博视频",iPhone客户端,0,0,0,100
喝养乐多第一名,"#新疆棉有多受欢迎#新疆棉花我们自己都不够用呢,必须是很受大家欢迎的,不然怎么可能不够用呢",,0,0,0,101
四号德芙巧克力,"#新疆棉有多受欢迎# 出来的衣服肯定也是特别的舒服,毕竟质量也是有保障的,我觉得这一下子必须得支持一下我们国家才可以呀!",nova 5i Pro,0,0,0,102
取名字真的好烦烦烦烦烦,"newbalance居然也反新疆棉,恨不得把我脚上的鞋子丢了//@一起神吐槽://@王尼玛:纯白无瑕的新疆棉花不容玷污//@暴走日报: //@钱老板是暴走脸: 我想听消音部分",HUAWEI P20,0,0,0,103
小豆包与豆包妈,致敬强国时代 红旗五区联动全国媒体武汉站 完美落幕!#红旗##支持新疆棉的国货品牌##汽车#靳东#红旗H9##旗迹中国##武汉# L小豆包与豆包妈的微博视频,微博视频号,4,1,1,104
鼠鼠的三楼实验室,"呀//@豢龙有道:我们家娃的篮球培训班已经贴公告了,支持新疆棉,反对BCI,运动场馆内涉BCI的体育用品一律贴标。",HUAWEI Mate30 Pro 5G,0,0,0,105
酒心可可的可可,#支持新疆棉的国货品牌# 请勿发布洋垃圾商品哈哈哈哈,iPhone客户端,0,0,0,106
李兔兔啊丶,赵猪猪#赵猪猪#黑暗虽浊流般涌来但光亮的地方半点玷污都不要想#支持新疆棉的国货品牌#,赵猪猪超话,0,0,0,107
我-黄胖子,"#薇娅直播间# #支持新疆棉的国货品牌# 哇哈,求锦鲤...",iPhone客户端,0,0,0,108
今天又又睡懒觉了吗,"新世界如果解约那就是港独+抵制新疆棉两个大罪,不用做中国人生意了",荣耀10 AI变色更潮美,0,0,0,109
城西小时候的记忆,#薇娅直播间# 月月期待的零食节来喽 支持新疆棉,HUAWEI Mate 30 5G,0,0,0,110
